movie,link,country
Phir Hera Pheri,https://www.imdb.com/title/tt0419058/locations/?ref_=tt_dt_loc,South Africa$New Zealand$Australia$India
Haider,https://www.imdb.com/title/tt3390572/locations/?ref_=tt_dt_loc,Kashmir
Once Upon a Time in Mumbaai,https://www.imdb.com/title/tt1395054/locations/?ref_=tt_dt_loc,India
Meri Pyaari Bindu,https://www.imdb.com/title/tt5472374/locations/?ref_=tt_dt_loc,India
Drishyam,https://www.imdb.com/title/tt4430212/locations/?ref_=tt_dt_loc,India
Housefull,https://www.imdb.com/title/tt1573072/locations/?ref_=tt_dt_loc,China$Italy$UK$India
Dabangg 2,https://www.imdb.com/title/tt2112131/locations/?ref_=tt_dt_loc,United Arab Emirates$India
Fighter,https://www.imdb.com/title/tt13818368/locations/?ref_=tt_dt_loc,Italy$India
Love Aaj Kal,https://www.imdb.com/title/tt1275863/locations/?ref_=tt_dt_loc,UK$India$USA
Desi Boyz,https://www.imdb.com/title/tt1985981/locations/?ref_=tt_dt_loc,Thailand$UK$India
Parched,https://www.imdb.com/title/tt3043252/locations/?ref_=tt_dt_loc,India
Dil Dhadakne Do ,https://www.imdb.com/title/tt4110568/locations/?ref_=tt_dt_loc,Tunisia$Italy$Turkey
Veer-Zaara,https://www.imdb.com/title/tt0420332/locations/?ref_=tt_dt_loc,India
Mersal,https://www.imdb.com/title/tt6485666/locations/?ref_=tt_dt_loc,India$North Macedonia$Poland
Yevadu,https://www.imdb.com/title/tt2211173/locations/?ref_=tt_dt_loc,India
Vikram,https://www.imdb.com/title/tt9179430/locations/?ref_=tt_dt_loc,India
Mrs. Chatterjee vs. Norway,https://www.imdb.com/title/tt14295590/locations/?ref_=tt_dt_loc,Estonia
Kahaani,https://www.imdb.com/title/tt1821480/locations/?ref_=tt_dt_loc,India
Aaja Nachle,https://www.imdb.com/title/tt0986213/locations/?ref_=tt_dt_loc,India
Lootera (2013),https://www.imdb.com/title/tt2224317/locations/?ref_=tt_dt_loc,India
Qala,https://www.imdb.com/title/tt14428598/locations/?ref_=tt_dt_loc,India
The Girl on The Train,https://www.imdb.com/title/tt8907992/locations/?ref_=tt_dt_loc,UK
Golmaal 3,https://www.imdb.com/title/tt1562859/locations/?ref_=tt_dt_loc,India
Entertainment,https://www.imdb.com/title/tt2978626/locations/?ref_=tt_dt_loc,Thailand$India
Newton (2017),https://www.imdb.com/title/tt6484982/locations/?ref_=tt_dt_loc,India
Kathal,https://www.imdb.com/title/tt18413766/locations/?ref_=tt_dt_loc,India
Gravity,https://www.imdb.com/title/tt1454468/locations/?ref_=tt_dt_loc,Space$UK$USA
Gangs of Wasseypur,https://www.imdb.com/title/tt1954470/locations/?ref_=tt_dt_loc,India
Omkara,https://www.imdb.com/title/tt0488414/locations/?ref_=tt_dt_loc,India
Rocky Handsome,https://www.imdb.com/title/tt3410408/locations/?ref_=tt_dt_loc,India
